[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
[CLK] state=FETCH, instructionReg=0000, addr=xxxx, pc=00
